video_duration_sec,video_view_count,video_like_count,video_share_count,video_download_count,video_comment_count,text_length,verified_status_verified,author_ban_status_banned,author_ban_status_under review,colleague discovered,colleague learned,colleague read,discovered news,discussion board,friend learned,friend read,internet forum,learned media,media claim,news claim,point view,read media,social media,willing wager
51,2487.0,310.0,20.0,1.0,0.0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,118512.0,3543.0,374.0,70.0,29.0,97,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,105902.0,1885.0,229.0,39.0,9.0,76,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,9245.0,1670.0,440.0,13.0,4.0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,3791.0,660.0,63.0,9.0,1.0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,4888.0,712.0,159.0,2.0,1.0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,892740.0,336875.0,1980.0,729.0,355.0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,807.0,303.0,100.0,7.0,1.0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,836955.0,535504.0,18286.0,1079.0,59.0,72,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,3128.0,91.0,29.0,2.0,0.0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,5723.0,2055.0,655.0,6.0,2.0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,4046.0,1732.0,334.0,42.0,4.0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,9073.0,1710.0,132.0,5.0,1.0,81,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,9130.0,1773.0,684.0,41.0,3.0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,60008.0,10007.0,3881.0,249.0,108.0,84,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,1061.0,229.0,91.0,5.0,2.0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2890.0,1152.0,423.0,20.0,7.0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,7806.0,78.0,9.0,1.0,0.0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,4613.0,247.0,38.0,3.0,1.0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,8081.0,3008.0,55.0,22.0,1.0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
